HOLE:	1230A
LEG:	201
TOP:	0.1519
BOTTOM:	266.3947
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%	
41.9095	5.6238	3.7654	0.0975	0.6315	0.2480	-0.1371
42.0619	5.7350	4.1038	0.1030	0.7076	0.2185	-0.1371
42.2143	6.0936	4.3093	0.1233	0.6546	0.2334	-0.1371
42.3667	6.4517	5.1155	0.1378	0.8266	0.1753	-0.1371
42.5191	6.7285	5.4200	0.1539	0.8296	0.1693	-0.1371
42.6715	6.5641	5.5929	0.1488	0.9152	0.1415	-0.1371
42.8239	6.4965	5.5446	0.1423	0.9374	0.1290	-0.1371
42.9763	6.2970	5.3827	0.1384	0.9090	0.1385	-0.1371
43.1287	6.6052	5.8437	0.1414	1.0387	0.1350	-0.1371
43.2811	6.4310	5.3642	0.1257	0.9774	0.1667	-0.1371
43.4335	6.5316	4.8200	0.1019	0.9427	0.2585	-0.1371
43.5859	6.6856	4.9980	0.1097	0.9543	0.2614	-0.1371
43.7383	6.7166	4.9289	0.1076	0.9442	0.2835	-0.1371
43.8907	6.7471	4.9139	0.1048	0.9558	0.2865	-0.1371
44.0431	7.0793	4.6109	0.1071	0.8459	0.3816	-0.1371
44.1955	7.0020	4.7683	0.1082	0.8898	0.3548	-0.1371
44.3479	7.0491	4.5220	0.1005	0.8563	0.3973	-0.1371
44.5003	6.2979	3.8791	0.0826	0.7552	0.3885	-0.1371
44.6527	6.3843	3.8597	0.0743	0.7977	0.3997	-0.1371
44.8051	6.0247	3.5189	0.0722	0.7010	0.3989	-0.1371
44.9575	6.3623	3.9697	0.0805	0.7967	0.3973	-0.1371
45.1099	6.2945	4.4650	0.0931	0.8806	0.3336	-0.1371
45.2623	6.5695	4.6609	0.0921	0.9496	0.3561	-0.1371
45.4147	6.3907	4.2763	0.0824	0.8831	0.3774	-0.1371
45.5671	6.4766	4.4154	0.0905	0.8802	0.3721	-0.1371
45.7195	6.3155	4.3487	0.0949	0.8334	0.3513	-0.1371
45.8719	6.0210	3.7500	0.0747	0.7602	0.3965	-0.1371
46.0243	5.8367	3.5662	0.0781	0.6813	0.3810	-0.1371
46.1767	5.8239	3.8354	0.0756	0.7819	0.3491	-0.1371
46.3291	5.8621	3.7703	0.0761	0.7586	0.3671	-0.1371
46.4815	5.6686	4.1720	0.0757	0.8895	0.2706	-0.1371
46.6339	5.3650	3.9547	0.0712	0.8461	0.2617	-0.1371
46.7863	5.1972	3.5155	0.0614	0.7636	0.2944	-0.1371
46.9387	5.1205	3.5474	0.0638	0.7597	0.2793	-0.1371
47.0911	5.4180	3.8447	0.0641	0.8530	0.2955	-0.1371
47.2435	5.4126	3.7080	0.0499	0.8923	0.3184	-0.1371
47.3959	5.8426	4.2069	0.0557	1.0175	0.3088	-0.1371
47.5483	5.8647	4.5567	0.0674	1.0608	0.2690	-0.1371
47.7007	5.8016	4.5495	0.0595	1.1048	0.2785	-0.1371
47.8531	5.7937	4.6166	0.0688	1.0717	0.2797	-0.1371
48.0055	5.7216	4.5221	0.0647	1.0653	0.2651	-0.1371
48.1579	5.6791	3.8857	0.0591	0.8950	0.3482	-0.1371
48.3103	5.4821	3.7373	0.0645	0.8162	0.3305	-0.1371
48.4627	5.5901	3.9736	0.0739	0.8364	0.3182	-0.1371
48.6151	5.9333	4.2050	0.0790	0.8807	0.3240	-0.1371
48.7675	5.8840	4.0831	0.0818	0.8254	0.3121	-0.1371
48.9199	5.8504	4.0650	0.0806	0.8263	0.3021	-0.1371
49.0723	5.3541	3.6619	0.0711	0.7533	0.2900	-0.1371
49.2247	5.2123	3.6245	0.0683	0.7578	0.2675	-0.1371
49.3771	5.5534	3.6707	0.0761	0.7267	0.3099	-0.1371
49.5295	6.4219	3.8172	0.0784	0.7605	0.4081	-0.1371
49.6819	6.6790	4.0234	0.0909	0.7531	0.4183	-0.1371
49.8343	6.4316	4.1557	0.1021	0.7298	0.3671	-0.1371
49.9867	6.4695	4.1005	0.0888	0.7899	0.3703	-0.1371
50.1391	6.3104	3.9376	0.0798	0.7905	0.3675	-0.1371
50.2915	6.1925	3.8582	0.0736	0.8013	0.3812	-0.1371
50.4439	5.3957	3.8106	0.0740	0.7838	0.2824	-0.1371
50.5963	5.5606	3.6879	0.0782	0.7200	0.3288	-0.1371
50.7487	5.7488	3.9194	0.0737	0.8205	0.3306	-0.1371
50.9011	5.9322	3.8714	0.0728	0.8102	0.3569	-0.1371
51.0535	6.0727	4.0772	0.0723	0.8785	0.3278	-0.1371
51.2059	5.6113	3.9723	0.0835	0.7796	0.2720	-0.1371
