HOLE: 1230A								
LEG: 201								
LOGGING RUN: DIT/APS/HLDT/SGT/HNGS								
DATE: 3/16/2002		Sea Floor Depth: 5099 mbrf						
Depth	Temp	Pressure						
(mbsf)	(degC)	(bar)						
121.0400	5.20	530.41						
121.2800	5.20	530.41						
121.5300	5.20	530.48						
121.7800	5.20	530.34						
122.0400	5.20	530.41						
122.3000	5.20	530.41						
122.5600	5.21	530.69						
122.8300	5.21	530.83						
123.0900	5.20	530.90						
123.3500	5.22	530.83						
123.6200	5.23	530.97						
123.8900	5.22	530.90						
124.1500	5.22	530.76						
124.4200	5.19	530.76						
124.7500	5.21	530.69						
125.0100	5.22	531.03						
125.2800	5.23	531.03						
125.5500	5.22	530.90						
125.8200	5.24	530.69						
126.0800	5.23	530.83						
126.3500	5.24	531.10						
126.6200	5.21	531.03						
126.9000	5.24	531.03						
127.1600	5.24	530.90						
127.4300	5.22	530.97						
127.7100	5.23	531.17						
127.9700	5.23	531.24						
128.2300	5.21	531.31						
128.5700	5.22	531.17						
128.8400	5.22	531.03						
129.1200	5.22	531.10						
129.4100	5.22	531.10						
129.7000	5.23	531.45						
129.9800	5.23	531.38						
130.2700	5.23	531.31						
130.6300	5.23	531.38						
130.9200	5.23	531.17						
131.2100	5.23	531.45						
131.5300	5.22	531.59						
131.8600	5.23	531.52						
132.1800	5.22	531.45						
132.5100	5.22	531.38						
132.7100	5.21	531.59						
132.9100	5.22	531.66						
133.2300	5.21	531.66						
133.5600	5.22	531.59						
133.8800	5.23	531.52						
134.2100	5.20	531.66						
134.5400	5.22	531.86						
134.8700	5.21	531.79						
135.2000	5.22	531.86						
135.5300	5.18	531.86						
135.8600	5.21	531.93						
136.1800	5.22	532.07						
136.5100	5.22	532.07						
136.8100	5.22	532.07						
137.1100	5.23	531.72						
137.4100	5.23	531.93						
137.7900	5.23	531.93						
138.1000	5.20	532.14						
138.4300	5.22	532.28						
138.7500	5.22	532.14						
139.0800	5.22	532.14						
139.4400	5.23	532.00						
139.8100	5.23	532.14						
140.1700	5.21	532.41						
140.5500	5.24	532.48						
140.9100	5.21	532.41						
141.2700	5.23	532.14						
141.6400	5.21	532.21						
142.0100	5.20	532.48						
142.4700	5.24	532.69						
142.8400	5.20	532.62						
143.2100	5.23	532.34						
143.5800	5.24	532.48						
143.9500	5.24	532.55						
144.3200	5.21	532.90						
144.7800	5.20	532.97						
145.1500	5.24	532.62						
145.5200	5.22	532.48						
145.8900	5.24	532.62						
146.1200	5.21	533.03						
146.3400	5.25	533.03						
146.7000	5.21	532.97						
147.0700	5.23	532.83						
147.4300	5.24	532.83						
147.8900	5.23	533.03						
148.2600	5.22	532.97						
148.6200	5.21	532.97						
148.9800	5.25	533.17						
149.3500	5.23	533.38						
149.8100	5.20	533.31						
150.1700	5.23	533.24						
150.5400	5.22	533.24						
150.9900	5.21	533.52						
151.3600	5.23	533.31						
151.7200	5.25	533.45						
151.9500	5.24	533.38						
152.1800	5.24	533.59						
152.5500	5.24	533.59						
152.9200	5.24	533.45						
153.3800	5.20	533.38						
153.7400	5.19	533.72						
154.0900	5.22	533.79						
154.4400	5.23	533.79						
154.9100	5.24	533.66						
155.2500	5.25	533.72						
155.6000	5.23	533.86						
155.9500	5.24	533.93						
156.3900	5.26	533.93						
156.7400	5.22	534.14						
157.1000	5.23	534.14						
157.4500	5.27	534.00						
157.6700	5.23	534.00						
157.9000	5.26	534.07						
158.2700	5.25	534.41						
158.6400	5.23	534.34						
159.1000	5.26	534.28						
159.4700	5.24	534.14						
159.8300	5.25	534.41						
160.1900	5.25	534.55						
160.6500	5.24	534.41						
161.0200	5.25	534.34						
161.3800	5.24	534.48						
161.8300	5.24	534.76						
162.2000	5.27	534.83						
162.5800	5.26	534.69						
162.9600	5.24	534.62						
163.3300	5.25	534.69						
163.7100	5.24	534.83						
164.0900	5.25	534.83						
164.4700	5.27	534.90						
164.8500	5.25	534.83						
165.0900	5.28	534.83						
165.3300	5.29	534.83						
165.7100	5.28	534.83						
166.0900	5.29	535.17						
166.4700	5.25	535.17						
166.8400	5.30	535.17						
167.3000	5.29	535.10						
167.6700	5.29	535.10						
168.0500	5.26	535.31						
168.4200	5.29	535.45						
168.9000	5.29	535.52						
169.2900	5.30	535.38						
169.6700	5.28	535.17						
170.0600	5.29	535.38						
170.5300	5.32	535.24						
170.9100	5.32	535.59						
171.2800	5.31	535.59						
171.6400	5.30	535.59						
172.0100	5.31	535.72						
172.2300	5.32	535.59						
172.4400	5.29	535.52						
172.8100	5.31	535.86						
173.1700	5.30	536.00						
173.6600	5.29	535.93						
174.0500	5.31	535.79						
174.5300	5.29	535.86						
174.9200	5.31	536.07						
175.3200	5.29	536.14						
175.7200	5.30	536.00						
176.1300	5.32	536.00						
176.6300	5.31	536.14						
177.0400	5.31	536.41						
177.4400	5.30	536.41						
177.8400	5.30	536.28						
178.2400	5.30	536.21						
178.4900	5.32	536.34						
178.7500	5.29	536.41						
179.1500	5.32	536.34						
179.5500	5.32	536.48						
179.9600	5.31	536.55						
180.3600	5.32	536.62						
180.8700	5.34	536.41						
