HOLE:	1230A
LEG:	201
TOP:	80.1619
BOTTOM:	272.1859
DEPTH_WMSF	RHOB	DRHO	PEF
m	g/cm3	g/cm3	barns/e-
170.0779	1.5791	0.0404	2.7335
170.2303	1.5683	0.0346	2.6798
170.3827	1.5525	0.0210	2.6702
170.5351	1.5420	0.0103	2.7039
170.6875	1.5414	0.0062	2.7871
170.8399	1.5507	0.0119	2.7803
170.9923	1.5589	0.0185	2.7684
171.1447	1.5671	0.0211	2.7538
171.2971	1.5692	0.0211	2.7534
171.4495	1.5723	0.0224	2.7716
171.6019	1.5629	0.0209	2.8106
171.7543	1.5517	0.0213	2.8084
171.9067	1.5324	0.0115	2.7915
172.0591	1.5305	0.0056	2.7148
172.2115	1.5390	0.0059	2.6792
172.3639	1.5472	0.0113	2.5836
172.5163	1.5500	0.0192	2.6076
172.6687	1.5422	0.0138	2.6480
172.8211	1.5364	0.0107	2.7078
172.9735	1.5289	0.0050	2.7139
173.1259	1.5268	0.0073	2.6643
173.2783	1.5217	0.0048	2.6624
173.4307	1.5241	0.0077	2.6295
173.5831	1.5302	0.0130	2.6582
173.7355	1.5305	0.0134	2.6257
173.8879	1.5156	0.0081	2.6291
174.0403	1.5025	0.0049	2.5909
174.1927	1.5036	0.0102	2.5967
174.3451	1.5105	0.0123	2.5791
174.4975	1.5106	0.0061	2.5932
174.6499	1.5045	0.0025	2.5997
174.8023	1.4965	0.0025	2.5969
174.9547	1.4949	0.0054	2.5991
175.1071	1.5030	0.0083	2.6017
175.2595	1.5136	0.0108	2.6075
175.4119	1.5260	0.0154	2.6443
175.5643	1.5278	0.0113	2.6275
175.7167	1.5318	0.0084	2.6589
175.8691	1.5338	0.0104	2.6108
176.0215	1.5328	0.0118	2.6339
176.1739	1.5328	0.0137	2.6228
176.3263	1.5282	0.0075	2.6769
176.4787	1.5290	0.0062	2.7139
176.6311	1.5287	0.0052	2.6701
176.7835	1.5223	-0.0006	2.6415
176.9359	1.5284	0.0058	2.6281
177.0883	1.5294	0.0072	2.6851
177.2407	1.5414	0.0194	2.7083
177.3931	1.5481	0.0235	2.7124
177.5455	1.5586	0.0304	2.7272
177.6979	1.5668	0.0322	2.7611
177.8503	1.5635	0.0250	2.7762
178.0027	1.5531	0.0150	2.7737
178.1551	1.5465	0.0098	2.7430
178.3075	1.5450	0.0100	2.6933
178.4599	1.5429	0.0121	2.6554
178.6123	1.5321	0.0091	2.6152
178.7647	1.5239	0.0062	2.6596
178.9171	1.5316	0.0082	2.7249
179.0695	1.5395	0.0063	2.8275
179.2219	1.5445	0.0066	2.9189
179.3743	1.5377	0.0039	2.9125
179.5267	1.5453	0.0165	2.8097
179.6791	1.5375	0.0171	2.6875
179.8315	1.5315	0.0167	2.6667
179.9839	1.5295	0.0201	2.7012
180.1363	1.5408	0.0310	2.6771
180.2887	1.5480	0.0414	2.5880
180.4411	1.5248	0.0241	2.5150
180.5935	1.5203	0.0212	2.4910
180.7459	1.5122	0.0124	2.5360
180.8983	1.5177	0.0146	2.5570
181.0507	1.5058	0.0042	2.5992
181.2031	1.5057	0.0065	2.6263
181.3555	1.5078	0.0107	2.6688
181.5079	1.5195	0.0168	2.7097
181.6603	1.5386	0.0251	2.7276
181.8127	1.5514	0.0263	2.7102
181.9651	1.5581	0.0264	2.7268
182.1175	1.5616	0.0234	2.7736
182.2699	1.5513	0.0122	2.8297
182.4223	1.5452	0.0134	2.7929
