HOLE:	1249A
LEG:	204
TOP:	0.0241
BOTTOM:	90.1839
DEPTH_LSF	BDAV	BMAV	BSAV	RING	RBIT
m	ohmm	ohmm	ohmm	ohmm	ohmm		
10.5702	5.4917	5.0169	2.9157	5.2874	4.6439
10.6006	5.2830	4.6960	3.1514	5.5112	4.8290
10.6311	4.9492	5.0941	3.1029	5.0382	4.7193
10.6616	7.3853	4.4226	3.1125	4.9605	4.7893
10.6921	4.7224	4.2657	2.7288	5.1337	4.5963
10.7226	4.7289	4.2840	3.1714	4.7476	4.7979
10.7530	4.3815	4.3239	2.9442	4.7907	5.0126
10.7835	4.3841	4.4506	3.3682	4.7221	4.9477
10.8140	5.0444	4.1689	3.2320	5.5296	4.8256
10.8445	4.4928	4.6220	3.4948	5.3089	4.8226
10.8750	4.5774	4.3846	2.3157	4.9329	4.7364
10.9054	4.6300	4.3744	3.3894	4.7134	4.6715
10.9359	4.8022	4.1280	3.6213	4.4977	4.7186
10.9664	4.7741	4.4249	2.8064	4.8116	4.7838
10.9969	4.4573	4.4777	2.5504	4.9203	4.9079
11.0274	4.7448	5.1505	2.5235	4.6532	4.8009
11.0578	4.6399	4.8448	2.8601	4.7204	4.7098
11.0883	4.7520	4.7421	2.7094	4.5392	4.5673
11.1188	4.5086	4.1852	2.4965	4.4422	4.5120
11.1493	4.9440	4.0146	2.2403	4.4314	4.5895
11.1798	4.5015	4.0386	2.9583	4.5666	4.7012
11.2102	5.2140	3.9749	2.5502	4.7310	4.7177
11.2407	4.8819	3.9167	2.6558	4.4845	4.7702
11.2712	5.1290	3.6420	2.4305	4.6963	4.7199
11.3017	4.6170	4.4489	2.3981	4.4184	4.7758
11.3322	4.3657	4.4420	2.3003	4.8928	4.8599
11.3626	4.9064	4.7372	2.1717	4.9585	4.8218
11.3931	4.8968	4.4544	2.4701	5.2101	4.7217
11.4236	4.7284	4.0689	2.6131	5.0250	4.7926
11.4541	4.7023	3.7831	2.6759	4.9035	4.6764
11.4846	5.2344	3.6535	2.6661	4.7048	4.7611
